Isolate,Species
,
FSBL0558,K. pneumoniae
FSBL1386,K. pneumoniae
FSBL1448,K. pneumoniae
FSBL1654,E. coli 
FSBL1866,K. pneumoniae
FSBL1925,K. pneumoniae
FSBL2071,E. coli 
FSBL2111,K. pneumoniae
FSBL2112,K. pneumoniae
FSBL2130,K. pneumoniae
FSBL2155,K. pneumoniae
FSBL2166,K. pneumoniae
FSBL2240,E. coli 
FSBL2258,E. coli 
FSBL2265,K. pneumoniae
FSFC0558,K. quasipneumoniae similipneumoniae
FSFC1386,K. pneumoniae
FSFC1448,K. pneumoniae
FSFC1462,K. pneumoniae
FSFC1654,E. coli 
FSFC1925,K. pneumoniae
FSFC2071,E. coli 
FSFC2111K,K. pneumoniae
FSFC2112,K. pneumoniae
FSFC2130,K. pneumoniae
FSFC2155,K. pneumoniae
FSFC2240,E. coli 
FSFC2258,E. coli 
FSFC2265,K. pneumoniae